,0,1,2,optics_label,kmeans_label,dbscan_label,hierarchy_label
PEP,11.482994,-5.6690373,-2.510438,15,6,11,2
PFE,15.435112,4.043269,-6.0577154,2,1,0,4
PFG,-13.741179,-6.206888,5.3982835,9,7,7,8
PG,12.405057,-6.8133473,-1.6316106,15,6,11,2
PGR,-11.6636,-7.1325645,11.850472,14,0,3,10
PH,-6.538859,0.5580021,4.0431113,7,3,6,11
PHM,-3.6797588,4.1421804,-10.547999,-1,13,-1,3
PKG,-7.993361,6.161697,-3.684703,8,3,6,11
PLD,7.6411805,-15.0393095,1.8714049,16,2,8,6
PM,9.3084135,-3.7958138,-3.730393,15,6,11,2
PNC,-17.347063,-3.3704185,6.405887,10,7,12,8
PNR,-3.098371,0.74221903,4.1688466,7,3,6,11
PNW,7.3998237,-14.39291,-7.9811864,17,10,5,12
PODD,9.074199,14.923508,0.78292507,4,12,-1,9
POOL,1.856548,2.4299564,6.0452027,3,5,-1,13
PPG,-4.8043656,1.6121833,-1.0299896,7,3,6,11
PPL,7.382709,-13.842366,-5.7166314,17,10,5,12
PRU,-14.940407,-6.0969143,6.387617,9,7,7,8
PSA,7.3957996,-17.49853,1.6014072,16,2,8,6
PSX,-15.041283,-12.565469,-1.8679609,11,4,9,14
PTC,2.4547324,13.302617,0.9143924,4,12,2,9
PWR,-7.278664,2.5549233,1.7247813,7,3,6,11
PYPL,3.8923821,15.438408,-2.7795753,4,12,2,9
QCOM,-3.8575625,15.430228,-0.0005835681,18,8,4,7
QRVO,-5.6358137,13.854462,-0.84541667,18,8,4,7
RCL,-6.760554,-8.935063,1.4454622,6,14,1,1
REG,0.9853406,-14.3056965,0.15438014,16,2,8,6
REGN,19.38228,5.2260695,-6.322474,2,1,0,4
RF,-18.530426,-1.971259,5.596523,10,7,12,8
RHI,-4.8156714,-1.9834577,0.30507052,7,3,6,11
RJF,-17.012594,-7.441709,3.399326,9,7,7,8
RL,-0.29498282,-4.6789513,-0.600298,22,11,18,0
RMD,11.573545,10.696255,-5.8322415,0,1,0,4
ROK,-5.787305,2.4768925,5.380181,7,3,6,11
ROL,5.558751,4.8682137,2.9051735,3,5,-1,13
ROP,3.5997488,5.098285,3.3069582,3,5,-1,13
ROST,1.493793,-7.1044106,1.8503146,12,14,10,5
RSG,6.833932,2.6496365,1.247031,3,5,-1,13
RTX,-6.3098145,-4.419683,6.4917703,13,14,17,5
RVTY,14.619079,12.192384,-1.3849003,0,1,0,4
SBAC,11.508961,-14.408113,2.1968,16,2,8,6
SBUX,3.317252,0.49564862,-1.9943831,5,13,-1,3
SCHW,-18.663467,-6.393118,2.8739061,9,7,7,8
SHW,1.2616913,2.1464548,4.240034,3,5,-1,13
SJM,13.265856,-1.5124924,-0.23045938,15,6,11,2
SLB,-15.79698,-13.959165,-3.836143,11,4,9,14
SMCI,-1.9417261,16.897398,4.125598,4,12,2,9
SNA,-4.9101257,-1.3769917,2.1472058,7,3,6,11
SNPS,0.6927845,16.284487,-0.18561143,4,12,2,9
SO,9.778026,-12.603167,-6.386736,17,10,5,12
SPG,0.38162267,-12.545797,1.0118661,16,2,8,6
SPGI,5.0211444,8.496521,2.727856,3,5,-1,13
SRE,7.0515113,-11.938651,-4.606727,17,10,5,12
STE,10.441334,8.992552,-5.8244786,1,1,0,4
STLD,-11.882083,3.4606333,-1.282845,8,3,6,11
STT,-16.638123,-5.4852514,1.9646657,9,7,7,8
STX,-4.811922,13.221126,4.3455005,19,9,15,0
STZ,-0.3896423,2.0252235,-3.6554568,5,13,2,3
SWK,-2.0345125,-0.08198543,3.4384027,7,3,6,11
SWKS,-5.8948164,15.142507,-0.06702342,18,8,4,7
SYF,-13.153263,-1.8894054,5.633762,14,0,-1,10
SYK,7.366767,9.278596,-8.229879,1,1,0,4
SYY,-1.4075341,-8.3304,4.117717,-1,11,-1,1
T,7.3349667,-2.9165316,-6.6069107,15,6,11,2
TAP,10.348749,-1.0444659,-4.013301,15,6,11,2
TDG,-3.5659811,-7.062166,5.0734596,13,14,17,5
TDY,-3.747839,-5.9399548,6.0965605,13,14,17,5
TECH,12.448733,12.443612,-1.1525029,0,1,0,4
TEL,-4.0603757,8.175113,1.4870789,19,9,15,0
TER,-6.4289346,17.27664,-2.1961548,18,8,4,7
TFC,-17.199125,-3.6722689,8.219018,10,7,12,8
TFX,7.907499,8.211294,-6.786187,1,1,0,4
TGT,6.508364,-2.554353,4.9520717,21,5,14,0
TJX,1.5691208,-6.995727,0.83866847,12,14,10,5
TMO,14.858403,10.981885,-2.9860692,0,1,0,4
TMUS,5.044069,0.09873167,-5.4260616,5,13,-1,3
TPR,0.058129586,-4.0880194,0.19026352,12,14,10,5
TRGP,-12.49092,-13.914834,-6.865897,11,4,9,14
TRMB,-1.3206335,10.023243,1.5389187,5,13,2,3
TROW,-3.1082067,8.885448,-3.659297,4,13,2,9
